Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Career_Level,Education,Salary,Job_Category,Skills,Gender,Job_Category_Count,min_experience,max_experience,City,Country
General Accountant - Tanta,Full Time,on-site,Not Specified,"Gharbia, Egypt",56,24,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial analysis', 'microsoft excel', 'financial']",both,901,7,10,Gharbia, Egypt
General Accountant Specialist,Full Time,on-site,UNI Power,"6th of October, Giza",7,96,2,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'accounting software', 'finance', 'financial analysis', 'general ledger', 'ms', 'excel', 'certified public accountant', 'certified accountant', 'financial accounting', 'accounts payable', 'accounts receivable', 'treasury accounting', 'financial', 'software', 'gaap']",Male,901,1,3,6th of October, Giza
General Accounting Associate,Full Time,on-site,Reliance Egypt,"Cairo, Egypt",18,67,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'english', 'finance']",both,901,1,3,Cairo, Egypt
General Accounting Supervisor,Full Time,on-site,Reliance Egypt,"Cairo, Egypt",12,130,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'ifrs']",both,901,5,7,Cairo, Egypt
General Cashier - Real Estate,Full Time,on-site,Seldar Egypt,"New Cairo, Cairo",3,18,1,Experienced (Non-Manager),Not Specified,,Accounting/Finance,"['cashier', 'accounting', 'enterprise resource planning', 'finance', 'excel', 'commerce']",Male,901,2,3,New Cairo, Cairo
General Ledger Accountant,Full Time,on-site,Azza Fahmy Jewellery,"6th of October, Giza",13,98,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'financial analysis', 'finance', 'english', 'financial', 'financial']",both,901,5,8,6th of October, Giza
General Ledger Accountant,Full Time,on-site,Ghataty,"Giza, Egypt",16,138,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'financial analysis', 'financial', 'general ledger', 'ledger', 'finance']",both,901,3,5,Giza, Egypt
General Ledger and Treasury Accountant,Full Time,on-site,The Translation Gate,"Maadi, Cairo",11,71,1,Experienced (Non-Manager),Not Specified,"Confidential, Semi Annual Profit Share Laptop For Work Internet Allowance Access To Work From Home",Accounting/Finance,"['accounting', 'excel', 'finance', 'financial reporting', 'general ledger', 'software', 'financial analysis', 'quickbooks']",both,901,3,4,Maadi, Cairo
"General, Tax and Bank Accountants",Full Time,on-site,Not Specified,"6th of October, Giza",24,124,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'english', 'enterprise resource planning', 'erp system', 'finance', 'financial analysis', 'microsoft', 'accountant']",both,901,3,7,6th of October, Giza
Head OF Accounting,Full Time,on-site,Carofi,"New Cairo, Cairo",28,227,1,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Annual Bonus And Achievement Bonous",Accounting/Finance,"['financial services', 'accounting']",both,901,5,7,New Cairo, Cairo
Head OF Accounting,Full Time,on-site,Shawerma and sauce,"Cairo, Egypt",28,193,1,Manager,Not Specified,Confidential,Accounting/Finance,"['accounting', 'food & beverage', 'accounting data', 'financial reports', 'financial accounting']",both,901,3,6,Cairo, Egypt
Head OF Accounting,Full Time,on-site,Not Specified,"Obour City, Cairo",56,276,1,Manager,Not Specified,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial analysis', 'financial', 'enterprise resource planning']",both,901,10,15,Obour City, Cairo
Head OF Accounting,Full Time,on-site,ACO-Construction,"6th of October, Giza",4,74,1,Manager,Not Specified,Confidential,Accounting/Finance,"['accounting', 'certified accountant', 'construction']",both,901,6,10,6th of October, Giza
Head OF Finance,Full Time,on-site,Not Specified,"Abu Rawash, Giza",17,220,1,Manager,Not Specified,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial analysis', 'financial', 'certified public accountant', 'cfa', 'budgeting', 'analytical', 'analysis', 'mba', 'risk']",both,901,10,15,Abu Rawash, Giza
Head OF Treasury - 10th Of Ramadan City,Full Time,on-site,Energya Steel Fabrication- Elsweedy Helal,"10th of Ramadan City, Sharqia",28,109,1,Manager,Not Specified,"Confidential, Life Insurance Accident Insurance Family Medical Insurance Transportation Monthly Bonus",Accounting/Finance,"['accounting', 'finance', 'treasury', 'banking']",both,901,8,10,10th of Ramadan City, Sharqia
Head Of Finance,Full Time,on-site,Not Specified,"Cairo, Egypt",24,224,1,Manager,Master'S Degree,Confidential,Accounting/Finance,"['accounting', 'cfa', 'finance', 'communication', 'communication', 'financial analysis', 'financial', 'reporting', 'enterprise resource planning', 'english', 'certified public accountant', 'analytical']",both,901,15,20,Cairo, Egypt
Head of FP & A,Full Time,on-site,Not Specified,"Cairo, Egypt",24,72,1,Manager,Bachelor'S Degree,Confidential,Accounting/Finance,"['analysis', 'finance', 'ca', 'certified public accountant', 'cfa', 'financial analysis', 'financial planning', 'english fluency']",both,901,15,17,Cairo, Egypt
IFRS Instructor,Freelance / Project,on-site,Asfour for Mining and Refractories,"Tebin, Cairo",28,21,1,Manager,Not Specified,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial analysis', 'financial', 'ifrs', 'instructor']",both,901,3,10,Tebin, Cairo
IT technical support specialist,Full Time,on-site,Arcelormittal Egypt,"Cairo, Egypt",4,124,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['information technology (it)', 'linux', 'software', 'support', 'cisco', 'computer', 'computer science', 'computer systems', 'customer support', 'help desk', 'information technology']",both,901,3,5,Cairo, Egypt
IT technical support specialist,Full Time,on-site,Arcelormittal Egypt,"Cairo, Egypt",3,119,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['information technology (it)', 'linux', 'software', 'support', 'cisco', 'computer', 'computer science', 'computer systems', 'customer support', 'help desk', 'information technology']",both,901,3,5,Cairo, Egypt
Import financial specialist (Accountant),Full Time,on-site,realme,"Nasr City, Cairo",18,54,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['finance', 'financial analysis', 'financial', 'accounting', 'english', 'import', 'microsoft']",both,901,2,3,Nasr City, Cairo
Income Accountant,Full Time,on-site,Blue Nile,"Zamalek, Cairo",26,66,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['accountant', 'accounting', 'auditing', 'income', 'hospitality', 'food & beverage', 'hotel, restaurant, cafe', 'computer', 'microsoft excel', 'microsoft word', 'oracle']",Male,901,2,3,Zamalek, Cairo
Internal Audit,Full Time,on-site,SAMA FINANCE SAE,"Garden City, Cairo",56,78,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['audit', 'audit plan', 'audits', 'auditing', 'internal audit', 'finance', 'accounting']",both,901,3,7,Garden City, Cairo
Internal Audit Director,Full Time,on-site,Dr.Greiche,"10th of Ramadan City, Sharqia",13,41,1,"Senior Management (CEO, GM, Director, Head)",Not Specified,Confidential,Accounting/Finance,"['accounting', 'excel', 'finance', 'auditing', 'internal auditing', 'risk assessment', 'compliance']",both,901,15,20,10th of Ramadan City, Sharqia
Internal Audit Lead,Full Time,on-site,Buy and Go,"Maadi, Cairo",13,117,1,Manager,Bachelor'S Degree,,Accounting/Finance,"['audit', 'itaudit', 'external audit', 'financial industry']",Male,901,3,5,Maadi, Cairo
Internal Audit Lead,Full Time,on-site,Buy and Go,"Maadi, Cairo",12,116,1,Manager,Bachelor'S Degree,,Accounting/Finance,"['audit', 'itaudit', 'external audit', 'financial industry']",Male,901,3,5,Maadi, Cairo
Internal Audit Manager,Full Time,on-site,Menatours,"Dokki, Giza",56,129,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['auditing', 'accounting', 'finance', 'travel', 'tourism']",both,901,5,10,Dokki, Giza
Internal Audit Manager,Full Time,on-site,Not Specified,"Riyadh, Saudi Arabia",56,147,1,Manager,Not Specified,Confidential,Accounting/Finance,"['accounting', 'construction', 'audit', 'finance', 'financial', 'accounting software', 'auditing', 'analytical', 'auditor', 'computer', 'financial analysis', 'internal auditor', 'auditing standards']",both,901,10,20,Riyadh, Saudi Arabia
Internal Audit Officer,Full Time,on-site,Knoz Elhekma Company,"Nasr City, Cairo",56,160,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['internal auditor', 'financial analysis', 'auditing', 'accounting', 'pharmaceutical industry', 'odoo erp', 'retail business', 'business administration', 'cia', 'certified public accountant', 'enterprise resource planning', 'finance', 'internal auditing']",both,901,1,3,Nasr City, Cairo
Internal Audit Section Head,Full Time,on-site,Elsewedy Electric,"Cairo, Egypt",6,171,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['auditing', 'internal audit', 'internal auditing']",both,901,6,10,Cairo, Egypt
Internal Audit Supervisor,Full Time,on-site,Sky Holding,"Maadi, Cairo",28,94,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['internal audit', 'audit', 'accounting', 'compliance', 'risk', 'finance', 'financial analysis', 'operations', 'internal controls', 'auditing', 'reporting']",both,901,4,8,Maadi, Cairo
