Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Career_Level,Education,Salary,Job_Category,Skills,Gender,Job_Category_Count,min_experience,max_experience,City,Country,Applicant_per_position
Accountant,Full Time,on-site,Adaks,"Alexandria, Egypt",56,351,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accountant', 'accounting', 'excel', 'enterprise resource planning', 'microsoft', 'communication', 'erp system', 'financial analysis', 'financial', 'finance']",both,901,1,3,Alexandria, Egypt,351
Accountant,Full Time,on-site,torino for real estate developments,"Glim, Alexandria",56,174,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'financial']",both,901,2,3,Glim, Alexandria,174
Accountant,Full Time,on-site,كنوز المخابئ للأزياء,"10th of Ramadan City, Cairo",28,56,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accountant', 'accounting', 'finance', 'financial analysis', 'financial', 'financial accounting', 'erp system']",both,901,2,4,10th of Ramadan City, Cairo,28
Accountant,Full Time,on-site,Al Ahly capital holding - Al Ahly Tamkeen,"Zamalek, Cairo",28,187,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial analysis', 'financial', 'general ledger']",both,901,1,3,Zamalek, Cairo,187
Accountant,Full Time,on-site,Smart GYM,"New Cairo, Cairo",27,53,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'financial analysis', 'auditing', 'certified public accountant', 'detail oriented', 'financial auditing', 'auditing standards', 'internal auditor', 'auditor', 'financial auditor', 'accounting principles', 'financial', 'accountant']",Female,901,2,,New Cairo, Cairo,53
Accountant,Full Time,on-site,swvt company for tools,"Azbakia, Cairo",56,50,1,Experienced (Non-Manager),Bachelor'S Degree,"7000 To 8000 EGP Per Month, Commission",Accounting/Finance,"['accounting', 'excel', 'odoo', 'finance', 'analysis', 'financial', 'financial analysis', 'financial', 'microsoft', 'problem solving', 'accounting principles']",both,901,2,3,Azbakia, Cairo,50
Accountant,Full Time,on-site,Real Nutrition,"Nasr City, Cairo",2,307,3,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'excel', 'financial analysis', 'accounting software', 'certified accountant', 'certified public accountant', 'finance', 'financial', 'gaap', 'general ledger', 'ms', 'microsoft excel']",both,901,0,3,Nasr City, Cairo,102
Accountant,Full Time,on-site,Mission Consulting,"New Cairo, Cairo",10,130,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['crm software', 'communication', 'accounting', 'certified accountant', 'certified public accountant', 'accounting software', 'financial', 'gaap', 'financial analysis', 'finance', 'general ledger']",both,901,1,3,New Cairo, Cairo,130
Accountant,Full Time,on-site,Logitime Egypt,"Heliopolis, Cairo",17,66,1,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['accounting', 'accounting software', 'excel', 'finance', 'microsoft excel', 'quickbooks']",Male,901,2,5,Heliopolis, Cairo,66
Accountant,Full Time,on-site,ElTarek Group,"Alexandria, Egypt",28,292,2,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'microsoft excel', 'analytical', 'finance', 'financial analysis', 'financial', 'ms', 'excel']",both,901,2,3,Alexandria, Egypt,146
Accountant,Full Time,on-site,Ertqaa,"New Cairo, Cairo",24,59,1,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'construction', 'contracting', 'finance', 'financial analysis', 'financial']",both,901,3,5,New Cairo, Cairo,59
Accountant,Full Time,on-site,الهنا و الحياه تكستايلز,"10th of Ramadan City, Sharqia",11,41,2,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,6500 To 8500 EGP Per Month,Accounting/Finance,"['accounting principles', 'excel', 'accounting', 'finance', 'financial analysis', 'financial', 'certified public accountant', 'certified accountant', 'analytical', 'microsoft excel']",both,901,1,2,10th of Ramadan City, Sharqia,20
Accountant,Full Time,on-site,Arcelormittal Egypt,"Badr City, Cairo",4,29,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'financial', 'excel']",both,901,1,3,Badr City, Cairo,29
Accountant,Full Time,on-site,Raya Distribution,"Giza, Egypt",13,549,1,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounting principles', 'egyptian tax', 'english section', 'english', 'financial', 'oracle', 'tax', 'tax regulations', 'financial analysis', 'finance']",both,901,0,2,Giza, Egypt,549
