Title,Working_Hours,Working_Place,Company,Location,Post_Date,Number_of_Applicants,Number_of_Positions,Career_Level,Education,Salary,Job_Category,Skills,Gender,Job_Category_Count,min_experience,max_experience,City,Applicant_per_position
Accountant,Full Time,on-site,I'm Rubiks,cairo,10,59.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'finance', 'accountant', 'financial analysis', 'financial']",both,901,3.0,5.0,Cairo,59.0
Accountant,Full Time,on-site,Pearl Dental and Beauty Center,cairo,19,42.0,3,Experienced (Non-Manager),Bachelor'S Degree,,Accounting/Finance,"['administration', 'accounting', 'accounting software', 'excel', 'certified accountant', 'certified public accountant', 'financial analysis', 'financial', 'gaap', 'general ledger']",Male,901,2.0,3.0,Heliopolis,14.0
Accountant,Full Time,on-site,LEDA EGYPT COMPANY,Alexandria,56,140.0,1,Experienced (Non-Manager),Not Specified,7000 To 9000 EGP Per Month,Accounting/Finance,"['accounting', 'cost accounting']",both,901,4.0,6.0,Ameria,140.0
Accountant,Full Time,on-site,Not Specified,cairo,12,43.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['communication', 'financial reporting']",both,901,1.0,3.0,Heliopolis,43.0
Accountant,Full Time,on-site,NewTech Company,cairo,56,105.0,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['accounting', 'financial']",both,901,1.0,3.0,Garden City,105.0
Accountant,Full Time,on-site,WAKIDI Law Firm,Alexandria,7,110.0,2,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'accountant', 'excel', 'financial analysis', 'financial', 'microsoft', 'commerce', 'education', 'finance', 'software']",both,901,2.0,4.0,Alexandria,55.0
Accountant,Full Time,on-site,LTS Group,cairo,28,130.0,4,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,"['english education', 'financial accounting', 'accounts payable', 'accounting', 'accounting software', 'english', 'enterprise resource planning', 'excel', 'finance', 'financial analysis', 'financial', 'organizational', 'software', 'writing']",both,901,1.0,2.0,Cairo,32.0
Accountant,Full Time,on-site,Falcons International Trading & Marketing,Giza,56,139.0,1,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,"['accounting', 'accounting software', 'finance', 'financial', 'excel', 'financial analysis', 'financial reporting', 'microsoft excel', 'financial']",both,901,2.0,5.0,Smart Village,139.0
Accountant,Full Time,on-site,Bayat almanzel,cairo,28,59.0,1,Experienced (Non-Manager),Bachelor'S Degree,8000 To 12000 SAR Per Month,Accounting/Finance,"['accountant', 'accounting', 'analytical', 'communication', 'communication', 'finance', 'financial', 'financial analysis', 'financial', 'financial records', 'odoo', 'records', 'reports']",both,901,3.0,5.0,Cairo,59.0
Accountant,Full Time,on-site,Allianz,cairo,56,,1,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,"['power bi', 'power query', 'accounting', 'data analysis']",both,901,0.0,2.0,New Cairo,
